Ticker,Model,thr,acc,bal_acc,prec,rec,f1,roc_auc,tn,fp,fn,tp
AAPL,LogReg(L1)+cal(max-balacc),0.533,0.48227,0.464508,0.517588,0.673203,0.585227,0.429599,33,96,50,103
AAPL,RF+cal(max-balacc),0.514,0.521277,0.505928,0.546875,0.686275,0.608696,0.48898,42,87,48,105
AAPL,Baseline:AlwaysUp,,0.542553,0.5,0.542553,1.0,0.703448,,0,129,0,153
AAPL,Baseline:Sign(Return_lag1),,0.535461,0.531768,0.571429,0.575163,0.57329,,63,66,65,88
AMZN,LogReg(L1)+cal(max-balacc),0.507,0.51773,0.535601,0.73913,0.115646,0.2,0.554447,129,6,130,17
AMZN,RF+cal(max-balacc),0.519,0.478723,0.499698,0.5,0.006803,0.013423,0.472361,134,1,146,1
AMZN,Baseline:AlwaysUp,,0.521277,0.5,0.521277,1.0,0.685315,,0,135,0,147
AMZN,Baseline:Sign(Return_lag1),,0.51773,0.516553,0.536913,0.544218,0.540541,,66,69,67,80
BTC-USD,LogReg(L1)+cal(max-balacc),0.505,0.501211,0.512086,0.578947,0.103774,0.176,0.556627,185,16,190,22
BTC-USD,RF+cal(max-balacc),0.521,0.498789,0.508824,0.54902,0.132075,0.212928,0.478926,178,23,184,28
BTC-USD,Baseline:AlwaysUp,,0.513317,0.5,0.513317,1.0,0.6784,,0,201,0,212
BTC-USD,Baseline:Sign(Return_lag1),,0.48184,0.481472,0.495283,0.495283,0.495283,,94,107,107,105
ETH-USD,LogReg(L1)+cal(max-balacc),0.516,0.525424,0.520223,0.530909,0.685446,0.598361,0.536643,71,129,67,146
ETH-USD,RF+cal(max-balacc),0.47,0.513317,0.503603,0.517964,0.812207,0.632541,0.525376,39,161,40,173
ETH-USD,Baseline:AlwaysUp,,0.515738,0.5,0.515738,1.0,0.680511,,0,200,0,213
ETH-USD,Baseline:Sign(Return_lag1),,0.489104,0.488521,0.504673,0.507042,0.505855,,94,106,105,108
GOOGL,LogReg(L1)+cal(max-balacc),0.6,0.468085,0.494521,0.533333,0.207792,0.299065,0.545404,100,28,122,32
GOOGL,RF+cal(max-balacc),0.15,0.546099,0.5,0.546099,1.0,0.706422,0.524198,0,128,0,154
GOOGL,Baseline:AlwaysUp,,0.546099,0.5,0.546099,1.0,0.706422,,0,128,0,154
GOOGL,Baseline:Sign(Return_lag1),,0.503546,0.49863,0.544872,0.551948,0.548387,,57,71,69,85
INTC,LogReg(L1)+cal(max-balacc),0.453,0.478723,0.509706,0.469697,0.946565,0.627848,0.570295,11,140,7,124
INTC,RF+cal(max-balacc),0.516,0.535461,0.502022,0.5,0.030534,0.057554,0.473131,147,4,127,4
INTC,Baseline:AlwaysUp,,0.464539,0.5,0.464539,1.0,0.634383,,0,151,0,131
INTC,Baseline:Sign(Return_lag1),,0.521277,0.518604,0.484615,0.480916,0.482759,,84,67,68,63
META,LogReg(L1)+cal(max-balacc),0.542,0.507092,0.489726,0.512545,0.979452,0.672941,0.458098,0,136,3,143
META,RF+cal(max-balacc),0.568,0.496454,0.512691,0.666667,0.054795,0.101266,0.500856,132,4,138,8
META,Baseline:AlwaysUp,,0.51773,0.5,0.51773,1.0,0.682243,,0,136,0,146
META,Baseline:Sign(Return_lag1),,0.549645,0.548952,0.564626,0.568493,0.566553,,72,64,63,83
MSFT,LogReg(L1)+cal(max-balacc),0.15,0.549645,0.5,0.549645,1.0,0.709382,0.485446,0,127,0,155
MSFT,RF+cal(max-balacc),0.542,0.464539,0.480899,0.521277,0.316129,0.393574,0.465126,82,45,106,49
MSFT,Baseline:AlwaysUp,,0.549645,0.5,0.549645,1.0,0.709382,,0,127,0,155
MSFT,Baseline:Sign(Return_lag1),,0.556738,0.551969,0.596154,0.6,0.598071,,64,63,62,93
NVDA,LogReg(L1)+cal(max-balacc),0.617,0.5,0.517806,0.574713,0.324675,0.414938,0.500406,91,37,104,50
NVDA,RF+cal(max-balacc),0.563,0.507092,0.482092,0.534562,0.753247,0.625337,0.490869,27,101,38,116
NVDA,Baseline:AlwaysUp,,0.546099,0.5,0.546099,1.0,0.706422,,0,128,0,154
NVDA,Baseline:Sign(Return_lag1),,0.570922,0.566914,0.606452,0.61039,0.608414,,67,61,60,94
TSLA,LogReg(L1)+cal(max-balacc),0.456,0.503546,0.501057,0.511494,0.618056,0.559748,0.514392,53,85,55,89
TSLA,RF+cal(max-balacc),0.549,0.48227,0.491546,0.444444,0.055556,0.098765,0.496075,128,10,136,8
TSLA,Baseline:AlwaysUp,,0.510638,0.5,0.510638,1.0,0.676056,,0,138,0,144
TSLA,Baseline:Sign(Return_lag1),,0.539007,0.538798,0.548611,0.548611,0.548611,,73,65,65,79
